IATA,ICAO,Airport Name,Location,GPS
POM,AYPY,Port Moresby International Airport,"['Saraga', ' Port Moresby']",9.44333°S 147.22000°E
,,,,
KEF,BIKF,Keflavik Airport,['Sandgerði'],63.98500°N 22.60556°W
,,,,
PRN,BKPR,Pristina International Airport,['Slatina'],42.57278°N 21.03583°E
,,,,
YEG,CYEG,Edmonton International Airport,"['Edmonton Metropolitan Region', ' Alberta']",53.31000°N 113.57944°W
,,,,
YHZ,CYHZ,Halifax Stanfield International Airport,"['Halifax', ' Nova Scotia']",44.87972°N 63.51028°W
,,,,
YOW,CYOW,Ottawa Macdonald–Cartier International Airport,['Ottawa–Gatineau'],45.32250°N 75.66722°W
,,,,
YUL,CYUL,Montréal–Trudeau International Airport,['Greater Montreal'],45.47056°N 73.74083°W
,,,,
YVR,CYVR,Vancouver International AirportAéroport international de Vancouver,['Metro Vancouver'],49.19472°N 123.18389°W
,,,,
YWG,CYWG,Winnipeg James Armstrong Richardson International Airport,"['Winnipeg', ' Manitoba']",49.91000°N 97.24000°W
,,,,
YYC,CYYC,YYC Calgary International AirportAéroport international de Calgary YYC,"['Calgary', ' Alberta', ' Canada']",51.12250°N 114.01333°W
POM,AYPY,Port Moresby International Airport,"Saraga, Port Moresby",9.44333°S 147.22000°E
POM,AYPY,Port Moresby International Airport,"Saraga, Port Moresby",9.44333°S 147.22000°E
